"summons_number","issue_date","violation_code","issuer_code","time_format","house_number","street_name","address","City","State","Zipcode","AUTO_UNIQUE_ID_2014-05-03_superegoforever_353164_all","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType"
"7175934907","1/2/2014","16","353164","15:28","89","Crosby St","89 Crosby St","New York","NY","10012",13,"USCGeocoder",16,1,"4.01","","4964643b-0acc-4ce0-bbed-eed46a289b34","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3526.69519369793","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7231741329197,-73.9974303688076,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","3003","3","0043.00","061","36","1","ResidenceStreetAddress"
"7175934877","1/2/2014","77","353164","15:12","555","Broadway","555 Broadway","New York","NY","10012",14,"USCGeocoder",31,1,"4.01","","7308dc0a-622b-41c9-a9bb-9759a470537a","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3520.17207748257","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.723904057137,-73.9981829163035,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1004","1","0049.00","061","36","1","ResidenceStreetAddress"
"7175934865","1/2/2014","37","353164","14:56","405","Broome St","405 Broome St","New York","NY","10012",15,"USCGeocoder",31,1,"4.01","","a36a743b-2193-4041-b761-4f92e52694b8","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1357.73144344147","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7208458260376,-73.9979111602058,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1005","1","0045.00","061","36","1","ResidenceStreetAddress"
"7175935006","1/2/2014","19","353164","18:36","55","E Houston St","55 E Houston St","New York","NY","10012",16,"USCGeocoder",0,1,"4.01","","c6670b97-2e67-415a-9354-f1755b8ddc8b","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","505.477612957358","ArealInterpolationGeometricCentroid","Parcel","93.6686390532544","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.6223114568308,-74.1462986355307,"Relaxed","TwoThousandTen","51000","5602","35644","70915","0","35620","1007","1","0251.00","085","36","1","ResidenceStreetAddress"
"7175934993","1/2/2014","42","353164","17:55","575","Broadway","575 Broadway","New York","NY","10012",17,"USCGeocoder",31,1,"4.01","","95c90496-5ca6-478c-bdb9-54ccaf85ee1f","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3475.60453490913","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7244926724656,-73.9976849055031,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1003","1","0049.00","061","36","1","ResidenceStreetAddress"
"7175934970","1/2/2014","20","353164","17:26","23","Cleveland Pl","23 Cleveland Pl","New York","NY","10012",18,"USCGeocoder",0,1,"4.01","","8c842454-e8a0-4b44-b969-46c163a37846","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","229.933892209083","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7217394992055,-73.9969992807323,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","6001","6","0041.00","061","36","1","ResidenceStreetAddress"
"7175934956","1/2/2014","31","353164","16:46","438","Broome St","438 Broome St","New York","NY","10012",19,"USCGeocoder",16,1,"4.01","","70e3d8a3-77fd-4760-b41d-9b6532bbcc4d","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","307.366259675473","ArealInterpolationGeometricCentroid","Parcel","98.8757396449704","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7217866417984,-73.9991904626751,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1002","1","0045.00","061","36","1","ResidenceStreetAddress"
"7175934932","1/2/2014","38","353164","16:34","188","Mulberry St","188 Mulberry St","New York","NY","10012",20,"USCGeocoder",31,1,"4.01","","83fa8203-e8a9-44cd-9612-9d9132c89931","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1798.75465184404","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.721111142842,-73.9965024675158,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","6003","6","0041.00","061","36","1","ResidenceStreetAddress"
"7175934919","1/2/2014","20","353164","16:29","218","Lafayette St","218 Lafayette St","New York","NY","10012",21,"USCGeocoder",0,1,"4.01","","e726217f-ff48-4d9c-9452-d762d5e5960a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","229.723997443914","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7219947492154,-73.9978052305932,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1001","1","0045.00","061","36","1","ResidenceStreetAddress"
"7175934889","1/2/2014","42","353164","15:17","540","Broadway","540 Broadway","New York","NY","10012",22,"USCGeocoder",16,1,"4.01","","68dffde0-6aab-4180-b7fe-fbc63e8b40c5","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","449.76810503006","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7231813584724,-73.9980620723582,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3004","3","0043.00","061","36","1","ResidenceStreetAddress"
"7175934804","1/2/2014","16","353164","13:48","11","Rivington St","11 Rivington St","New York","NY","10012",23,"USCGeocoder",16,1,"4.01","","41c99a20-bf14-4ada-8394-f574340ea3aa","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","450.103753167903","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.721185106972,-73.9927560714998,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","5001","5","0018.00","061","36","1","ResidenceStreetAddress"
"7175934798","1/2/2014","20","353164","13:39","187","Chrystie St","187 Chrystie St","New York","NY","10012",24,"USCGeocoder",16,1,"4.01","","cc86f395-b677-46e9-8d77-b30cf1d45409","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","224.105553388596","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7218390493252,-73.9923224561568,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0036.01","061","36","1","ResidenceStreetAddress"
"7175934762","1/2/2014","48","353164","13:32","229","Chrystie St","229 Chrystie St","New York","NY","10012",25,"USCGeocoder",31,1,"4.01","","1a133e51-2b65-43e1-b115-a62364ed5b8d","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3279.02786119701","LinearInterpolationAddressRange","StreetSegment","92.0118343195266","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7227016601475,-73.9915991214836,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3001","3","0036.01","061","36","1","ResidenceStreetAddress"
"7175934749","1/2/2014","46","353164","13:16","218","Bowery","218 Bowery","New York","NY","10012",26,"USCGeocoder",16,1,"4.01","","62349ee0-0358-4e9a-9e0d-f636deb09e0a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","426.756980717182","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7220017301901,-73.9938130266372,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2000","2","0043.00","061","36","1","ResidenceStreetAddress"
"7175934725","1/2/2014","20","353164","13:02","181","Chrystie St","181 Chrystie St","New York","NY","10012",27,"USCGeocoder",16,1,"4.01","","d06867ef-df8a-4a30-b542-ce0a397372fd","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","209.965786915272","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7216471854444,-73.992409591388,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0036.01","061","36","1","ResidenceStreetAddress"
"7928327946","1/6/2014","10","353164","17:58","49","Bleecker St","49 Bleecker St","New York","NY","10012",28,"USCGeocoder",31,1,"4.01","","09d6f1bb-4de8-40e7-bcc2-949dba93dda3","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1598.73991301889","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7257317190366,-73.9937263814363,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1002","1","0055.02","061","36","1","ResidenceStreetAddress"
"7928327971","1/6/2014","38","353164","18:45","98","Forsyth St","98 Forsyth St","New York","NY","10012",29,"USCGeocoder",16,1,"4.01","","5b4876ba-097f-4ca7-8637-5487386989c0","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","235.2043838799","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7181720230613,-73.9926354966373,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","6001","6","0018.00","061","36","1","ResidenceStreetAddress"
"7928327958","1/6/2014","14","353164","18:01","302","Elizabeth St","302 Elizabeth St","New York","NY","10012",30,"USCGeocoder",0,1,"4.01","","6e194116-1a3e-4fb3-acae-0a29099ec0a5","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","146.243066318333","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7250516366301,-73.9929865183253,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2010","2","0055.02","061","36","1","ResidenceStreetAddress"
"7928327880","1/6/2014","20","353164","16:00","290","Mulberry St","290 Mulberry St","New York","NY","10012",31,"USCGeocoder",16,1,"4.01","","352f4f53-14e2-467c-8d5b-332818e3b720","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2404.57169673592","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7247414338497,-73.9949127773225,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1002","1","0043.00","061","36","1","ResidenceStreetAddress"
"7928327879","1/6/2014","16","353164","14:59","302-4","Mott St","302-4 Mott St","New York","NY","10012",32,"USCGeocoder",0,1,"4.01","","fdcab814-0bbb-4f3d-a644-1796a25c70ce","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","453.52357121557","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7248660263085,-73.9938226715104,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2009","2","0055.02","061","36","1","ResidenceStreetAddress"
"7928327867","1/6/2014","20","353164","14:50","137","E Houston St","137 E Houston St","New York","NY","10012",33,"USCGeocoder",0,1,"4.01","","a22100b7-2ee6-49d5-89db-e8dacd1ae0e8","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","151.981496974826","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7231017242051,-73.9901215995213,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2000","2","0036.01","061","36","1","ResidenceStreetAddress"
"7928327855","1/6/2014","20","353164","14:47","139","E Houston St","139 E Houston St","New York","NY","10012",34,"USCGeocoder",16,1,"4.01","","49914b1b-b80a-41a3-92a4-90072f7fa65e","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","661.339382808656","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7230213382,-73.98996463517,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2000","2","0036.01","061","36","1","ResidenceStreetAddress"
"7928327843","1/6/2014","71","353164","14:41","195","Chrystie St","195 Chrystie St","New York","NY","10012",35,"USCGeocoder",0,1,"4.01","","3f0dcfa7-2287-47a8-aa4e-ce9d22159c9a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","913.454790320247","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7221718076718,-73.9923522940276,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0036.01","061","36","1","ResidenceStreetAddress"
"7928327790","1/6/2014","48","353164","13:46","163","Chrystie St","163 Chrystie St","New York","NY","10012",36,"USCGeocoder",0,1,"4.01","","cd162d81-b51a-44a2-ac8b-128422d3efd8","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","231.373818747699","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7206883978538,-73.9929129397919,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","5001","5","0018.00","061","36","1","ResidenceStreetAddress"
"7928327752","1/6/2014","20","353164","13:38","193","Chrystie St","193 Chrystie St","New York","NY","10012",37,"USCGeocoder",16,1,"4.01","","7553f21b-0e65-48a8-b003-e1cce7207bb6","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1978.68502595113","LinearInterpolationAddressRange","StreetSegment","92.0118343195266","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7219414110497,-73.9919846340923,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0036.01","061","36","1","ResidenceStreetAddress"
"7928327740","1/6/2014","20","353164","13:33","222","Bowery","222 Bowery","New York","NY","10012",38,"USCGeocoder",16,1,"4.01","","1fcabba1-6e90-48ea-bc99-413d18976c83","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","430.742865987122","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7221320549817,-73.9937686751859,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2000","2","0043.00","061","36","1","ResidenceStreetAddress"
"7928327727","1/6/2014","24","353164","13:19","32","Spring St","32 Spring St","New York","NY","10012",39,"USCGeocoder",16,1,"4.01","","36504e31-1998-4214-8b01-328e52081814","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","215.732639137655","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7215109571094,-73.9957337327926,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","6000","6","0041.00","061","36","1","ResidenceStreetAddress"
"7928327673","1/6/2014","48","353164","12:55","177","Chrystie St","177 Chrystie St","New York","NY","10012",40,"USCGeocoder",31,1,"4.01","","22c833fa-ca60-470c-9555-3936c56028bf","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3358.64079339174","LinearInterpolationAddressRange","StreetSegment","92.0118343195266","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7212638020846,-73.9923301905916,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","5001","5","0018.00","061","36","1","ResidenceStreetAddress"
"7928327983","1/6/2014","37","353164","18:52","129","Eldridge St","129 Eldridge St","New York","NY","10012",41,"USCGeocoder",0,1,"4.01","","542cc032-30a3-486c-a6d7-2461c247f535","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","55.8286597952247","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7188709819717,-73.9917508272146,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","7001","7","0018.00","061","36","1","ResidenceStreetAddress"
"7928327934","1/6/2014","20","353164","17:23","285","Mott St","285 Mott St","New York","NY","10012",42,"USCGeocoder",0,1,"4.01","","6aa40dcf-28b4-4f8f-a688-ceaabf41b4e2","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","636.860963101237","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7242982175507,-73.9946419770842,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1002","1","0043.00","061","36","1","ResidenceStreetAddress"
"7928327922","1/6/2014","20","353164","17:21","252","Mott St","252 Mott St","New York","NY","10012",43,"USCGeocoder",16,1,"4.01","","1536e7af-d93d-4a36-a3fa-3ed2e4d24317","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4194.57798535994","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7233280101706,-73.9946821495766,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1001","1","0043.00","061","36","1","ResidenceStreetAddress"
"7928327910","1/6/2014","14","353164","16:51","178","Mott St","178 Mott St","New York","NY","10012",44,"USCGeocoder",31,1,"4.01","","5253ec47-a9e7-418d-b808-369ae9f09f88","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1585.5630999573","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7203362494779,-73.9958723704746,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1002","1","0041.00","061","36","1","ResidenceStreetAddress"
"7928327909","1/6/2014","20","353164","16:06","316","Mott St","316 Mott St","New York","NY","10012",45,"USCGeocoder",0,1,"4.01","","d27fb430-abd7-4be6-ba68-022f7698926b","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","190.667403034866","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7252356993691,-73.9937004049386,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2009","2","0055.02","061","36","1","ResidenceStreetAddress"
